Program,Fault
"#include <iostream>
#include <vector>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= data.size(); ++i) {
        sum += data[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= data.size()
"#include <iostream>
#include <vector>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= data.size(); ++i) {
        sum += data[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= data.size()
"#include <iostream>
#include <vector>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;

    for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }

    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= numbers.size()
"#include <iostream>
#include <vector>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= data.size(); ++i) {
        sum += data[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= data.size()
"#include <vector>
#include <algorithm>
#include <iostream>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int target = 7;

    std::vector<int> result;
    std::copy_if(numbers.begin(), numbers.end(), std::back_inserter(result), [target](int n){ return n > target; });

    std::cout << ""Numbers greater than "" << target << "":"";
    for (int num : result) {
        std::cout << num << "" "";
    }
    std::cout << std::endl;
    return 0;
}",return n > target;
"#include <algorithm>
#include <vector>
#include <iostream>

int main() {
    std::vector<int> numbers = {5, 2, 8, 1, 9, 4};
    int target = 7;

    std::vector<int> result;
    for (int num : numbers) {
        if (num > target) {
            result.push_back(num);
        }
    }

    if (result.empty()) {
        std::cout << ""No numbers greater than target found."" << std::endl;
    } else {
        std::cout << ""Numbers greater than target: "";
        for (int i = 0; i < result.size(); ++i) {
            std::cout << result[i] << (i == result.size() - 1 ? """" : "", "");
        }
        std::cout << std::endl;
    }

    return 0;
}",if (num > target) {
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
    std::string text = ""This is a test string with some spaces."";
    std::string cleaned_text = text;

    // Remove leading and trailing spaces.
    size_t first = cleaned_text.find_first_not_of(' ');
    if (std::string::npos == first) {
        cleaned_text = """";
    }
    else {
        size_t last = cleaned_text.find_last_not_of(' ');
        cleaned_text = cleaned_text.substr(first, (last - first + 1));
    }

    // Remove consecutive spaces within the string
    std::string result = """";
    bool space_found = false;
    for (char c : cleaned_text) {
        if (c == ' ') {
            if (!space_found) {
                result += c;
                space_found = true;
            }
        } else {
            result += c;
            space_found = false;
        }
    }

    std::cout << ""Original: |"" << text << ""|\n"";
    std::cout << ""Cleaned: |"" << result << ""|\n"";
    return 0;
}","if (!space_found) {
                result += c;
                space_found = true;
            }"
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
    std::string text = ""Hello, World! This is a test."";
    std::string word_to_remove = ""World"";

    // Remove the word 'World' from the text
    size_t pos = text.find(word_to_remove);
    if (pos != std::string::npos) {
        text.erase(pos, word_to_remove.length());
    }

    std::cout << ""Original text: "" << ""Hello, World! This is a test."" << std::endl;
    std::cout << ""Modified text: "" << text << std::endl;
    return 0;
}","std::cout << ""Original text: "" << ""Hello, World! This is a test."" << std::endl;"
"#include <iostream>
#include <string>
#include <algorithm>

std::string reverseWords(std::string s) {
    std::string result = """";
    std::string word = """";
    for (char c : s) {
        if (c == ' ') {
            std::reverse(word.begin(), word.end());
            result += word + "" "";
            word = """";
        } else {
            word += c;
        }
    }
    std::reverse(word.begin(), word.end());
    result += word;
    return result;
}

int main() {
    std::string input = ""the sky is blue"";
    std::string reversed = reverseWords(input);
    std::cout << reversed << std::endl;
    return 0;
}","    std::reverse(word.begin(), word.end());"
"#include <iostream>
#include <string>
#include <vector>

int main() {
    std::vector<std::string> names = {""Alice"", ""Bob"", ""Charlie""};
    std::string longestName;
    for (const std::string& name : names) {
        if (longestName.length() < name.length()) {
            longestName = name;
        }
    }
    std::cout << ""The longest name is: "" << longestName << std::endl;
    return 0;
}","{""Alice"", ""Bob"", ""Charlie""}"
